A00;Choléra
C94;Autres leucémies à cellules précisées
C95;Leucémie à cellules non précisées
C96;Tumeurs malignes des tissus lymphoïde, hématopoïétique et
C97;Tumeurs malignes de sièges multiples indépendants (primitifs)
D00;Carcinome in situ de la cavité buccale, de l'œsophage et de
D01;Carcinome in situ des organes digestifs, autres et non précisés
D02;Carcinome in situ de l'oreille moyenne et de l'appareil respiratoire
D03;Mélanome in situ
D04;Carcinome in situ de la peau
D05;Carcinome in situ du sein
D06;Carcinome in situ du col de l'utérus
D07;Carcinome in situ d'organes génitaux, autres et non précisés
D09;Carcinome in situ de sièges autres et non précisés
D10;Tumeur bénigne de la bouche et du pharynx
D11;Tumeur bénigne des glandes salivaires principales
D12;Tumeur bénigne du côlon, du rectum, de l'anus et du canal anal
D13;Tumeurs bénignes de parties autres et mal définies de l'appareil
D14;Tumeur bénigne de l'oreille moyenne et de l'appareil respiratoire
D15;Tumeur bénigne des organes intrathoraciques, autres et non précisés
D16;Tumeur bénigne des os et du cartilage articulaire
D17;Tumeur lipomateuse bénigne
D18;Hémangiome et lymphangiome, tout siège
D19;Tumeur bénigne du tissu mésothélial
D20;Tumeur bénigne des tissus mous du rétropéritoine et du péritoine
D21;Autres tumeurs bénignes du tissu conjonctif et des autres tissus
D22;Nævus à mélanocytes
D23;Autres tumeurs bénignes de la peau
D24;Tumeur bénigne du sein
D25;Léiomyome de l'utérus
D26;Autres tumeurs bénignes de l'utérus
D27;Tumeur bénigne de l'ovaire
D28;Tumeur bénigne des organes génitaux de la femme, autres et non
D29;Tumeur bénigne des organes génitaux de l'homme
D30;Tumeur bénigne des organes urinaires
D31;Tumeur bénigne de l'œil et de ses annexes
D32;Tumeur bénigne des méninges
D33;Tumeur bénigne de l'encéphale et d'autres parties du système nerveux
D34;Tumeur bénigne de la thyroïde
D35;Tumeur bénigne des glandes endocrines, autres et non précisées
D36;Tumeur bénigne de sièges autres et non précisés
D37;Tumeur de la cavité buccale et des organes digestifs à évolution
D38;Tumeur de l'oreille moyenne et des organes respiratoires et
D39;Tumeur des organes génitaux de la femme à évolution imprévisible ou
D40;Tumeur des organes génitaux de l'homme à évolution imprévisible ou
D41;Tumeur des organes urinaires à évolution imprévisible ou inconnue
D42;Tumeur des méninges à évolution imprévisible ou inconnue
D43;Tumeur de l'encéphale et du système nerveux central à évolution
D44;Tumeur des glandes endocrines à évolution imprévisible ou inconnue
D45;Polyglobulie primitive
D46;Syndromes myélodysplasiques
D47;Autres tumeurs des tissus lymphoïde, hématopoïétique et apparentés à
D48;Tumeur de sièges autres et non précisés à évolution imprévisible ou
D50;Anémie par carence en fer
D51;Anémie par carence en vitamine B12
D52;Anémie par carence en acide folique
D53;Autres anémies nutritionnelles
D55;Anémie due à des anomalies enzymatiques
D56;Thalassémie
D57;Affections à hématies falciformes [drépanocytaires]
D58;Autres anémies hémolytiques héréditaires
D59;Anémie hémolytique acquise
D60;Anémie médullaire [aplastique] acquise pure [érythroblastopénie]
D61;Autres anémies médullaires [aplastiques]
D62;Anémie posthémorragique aigüe
D63;Anémie au cours de maladies chroniques classées ailleurs
D64;Autres anémies
D65;Coagulation intravasculaire disséminée [syndrome de défibrination]
D66;Carence héréditaire en facteur VIII
D67;Carence héréditaire en facteur IX
D68;Autres anomalies de la coagulation
D69;Purpura et autres affections hémorragiques
D70;Agranulocytose
D71;Anomalies fonctionnelles des granulocytes neutrophiles
D72;Autres anomalies des leucocytes
D73;Maladies de la rate
D74;Méthémoglobinémie
D75;Autres maladies du sang et des organes hématopoïétiques
D76;Autres maladies précisées avec participation des tissus
D77;Autres maladies du sang et des organes hématopoïétiques au cours de
D80;Déficit immunitaire avec déficit prédominant de la production
D81;Déficits immunitaires combinés
D82;Déficit immunitaire associé à d'autres anomalies majeures
D83;Déficit immunitaire commun variable
D84;Autres déficits immunitaires
D86;Sarcoïdose
D89;Autres anomalies du système immunitaire, non classées ailleurs
E00;Syndrome d'insuffisance thyroïdienne congénitale
E01;Affections thyroïdiennes et apparentées liées à une carence en iode
E02;Hypothyroïdie par carence inapparente en iode
E03;Autres hypothyroïdies
E04;Autres goitres non toxiques
E05;Thyréotoxicose [hyperthyroïdie]
E06;Thyroïdite
E07;Autres affections de la thyroïde
E10;Diabète sucré de type 1
E11;Diabète sucré de type 2 [4. Stelle: .0-.9]
E12;Diabète sucré de malnutrition
E13;Autres diabètes sucrés précisés
E14;Diabète sucré, sans précision
E15;Coma hypoglycémique non diabétique
E16;Autres anomalies de la sécrétion pancréatique interne
E20;Hypoparathyroïdie
E21;Hyperparathyroïdie et autres maladies de la glande parathyroïde
E22;Hypersécrétion de l'hypophyse
E23;Hyposécrétion et autres anomalies de l'hypophyse
E24;Syndrome de Cushing
E25;Anomalies génitosurrénaliennes
E26;Hyperaldostéronisme
E27;Autres maladies de la glande surrénale
E28;Dysfonction ovarienne
E29;Dysfonction testiculaire
E30;Anomalies de la puberté, non classées ailleurs
E31;Dysfonctionnement pluriglandulaire
E32;Maladies du thymus
E34;Autres troubles endocriniens
E35;Anomalies endocriniennes au cours de maladies classées ailleurs
E40;Kwashiorkor
E41;Marasme nutritionnel
E42;Kwashiorkor avec marasme
E43;Malnutrition protéinoénergétique grave, sans précision
E44;Malnutrition protéinoénergétique légère ou modérée
E45;Retard de développement après malnutrition protéinoénergétique
E46;Malnutrition protéinoénergétique, sans précision
E50;Avitaminose A
E51;Carence en thiamine
E52;Carence en acide nicotinique [pellagre]
E53;Autres avitaminoses du groupe B
E54;Carence en acide ascorbique
E55;Carence en vitamine D
E56;Autres avitaminoses
E58;Carence alimentaire en calcium
E59;Carence alimentaire en sélénium
E60;Carence alimentaire en zinc
E61;Carences en autres éléments nutritionnels
E63;Autres carences nutritionnelles
E64;Séquelles de malnutrition et autres carences nutritionnelles
E65;Adiposité localisée
E66;Obésité
E67;Autres excès d'apport
E68;Séquelles d'excès d'apport
E70;Anomalies du métabolisme des acides aminés aromatiques
E71;Anomalies du métabolisme des acides aminés à chaine ramifiée et du
E72;Autres anomalies du métabolisme des acides aminés
E73;Intolérance au lactose
E74;Autres anomalies du métabolisme des hydrates de carbone
E75;Anomalies du métabolisme des sphingolipides et autres anomalies du
E76;Anomalies du métabolisme des glucosaminoglycanes
E77;Anomalies du métabolisme des glycoprotéines
E78;Anomalies du métabolisme des lipoprotéines et autres lipidémies
E79;Anomalies du métabolisme de la purine et de la pyrimidine
E80;Anomalies du métabolisme de la porphyrine et de la bilirubine
E83;Anomalies du métabolisme des minéraux
E84;Fibrose kystique du pancréas
E85;Amylose
E86;Hypovolémie
E87;Autres déséquilibres hydroélectrolytiques et acidobasiques
E88;Autres anomalies métaboliques
E89;Anomalies endocriniennes et métaboliques après un acte à visée
E90;Anomalies nutritionnelles et métaboliques au cours de maladies
F00;Démence de la maladie d'Alzheimer (G30.-)
F01;Démence vasculaire
F02;Démence au cours d'autres maladies classées ailleurs
F03;Démence, sans précision
F030;Démence, sans précision: sans symptôme supplémentaire
F030;Démence, sans précision: sans symptôme supplémentaire
F031;Démence, sans précision: avec d’autres symptômes, essentiellement
F031;Démence, sans précision: avec d’autres symptômes, essentiellement
F032;Démence, sans précision: avec d’autres symptômes, essentiellement
F032;Démence, sans précision: avec d’autres symptômes, essentiellement
F033;Démence, sans précision: avec d’autres symptômes, essentiellement
F033;Démence, sans précision: avec d’autres symptômes, essentiellement
F034;Démence, sans précision: avec d’autres symptômes, mixtes
F034;Démence, sans précision: avec d’autres symptômes, mixtes
F04;Syndrome amnésique organique, non induit par l'alcool et d'autres
F040;Syndrome amnésique organique, non induit par l'alcool et d'autres
F041;Syndrome amnésique organique, non induit par l'alcool et d'autres
F042;Syndrome amnésique organique, non induit par l'alcool et d'autres
F043;Syndrome amnésique organique, non induit par l'alcool et d'autres
F044;Syndrome amnésique organique, non induit par l'alcool et d'autres
F05;Délirium, non induit par l'alcool et d'autres substances
F06;Autres troubles mentaux dus à une lésion cérébrale et un
F07;Troubles de la personnalité et du comportement dus à une affection,
F09;Trouble mental organique ou symptomatique, sans précision [4.
F090;Trouble mental organique ou symptomatique, sans précision: sans
F091;Trouble mental organique ou symptomatique, sans précision: avec
F092;Trouble mental organique ou symptomatique, sans précision: avec
F093;Trouble mental organique ou symptomatique, sans précision: avec
F094;Trouble mental organique ou symptomatique, sans précision: avec
F10;Troubles mentaux et du comportement liés à l'utilisation d'alcool
F11;Troubles mentaux et du comportement liés à l'utilisation d'opiacés
F12;Troubles mentaux et du comportement liés à l'utilisation de dérivés
F13;Troubles mentaux et du comportement liés à l'utilisation de sédatifs
F14;Troubles mentaux et du comportement liés à l'utilisation de cocaïne
F15;Troubles mentaux et du comportement liés à l'utilisation d'autres
F16;Troubles mentaux et du comportement liés à l'utilisation
F17;Troubles mentaux et du comportement liés à l'utilisation de tabac
F18;Troubles mentaux et du comportement liés à l'utilisation de solvants
F19;Troubles mentaux et du comportement liés à l'utilisation de drogues
F20;Schizophrénie
F21;Trouble schizotypique
F22;Troubles délirants persistants
F23;Troubles psychotiques aigus et transitoires
F24;Trouble délirant induit
F25;Troubles schizoaffectifs
F28;Autres troubles psychotiques non organiques
F29;Psychose non organique, sans précision
F30;Épisode maniaque
F31;Trouble affectif bipolaire
F32;Épisodes dépressifs
F33;Trouble dépressif récurrent
F34;Troubles de l'humeur [affectifs] persistants
F38;Autres troubles de l'humeur [affectifs]
F39;Trouble de l'humeur [affectif], sans précision
F40;Troubles anxieux phobiques
F41;Autres troubles anxieux
F42;Trouble obsessionnel-compulsif
F43;Réaction à un facteur de stress sévère, et troubles de l'adaptation
F44;Troubles dissociatifs [de conversion]
F45;Troubles somatoformes
F48;Autres troubles névrotiques
F50;Troubles de l'alimentation
F51;Troubles du sommeil non organiques
F52;Dysfonctionnement sexuel, non dû à un trouble ou à une maladie
F53;Troubles mentaux et du comportement associés à la puerpéralité, non
F54;Facteurs psychologiques et comportementaux associés à des maladies
F55;Abus de substances n'entraînant pas de dépendance
F59;Syndromes comportementaux non précisés associés à des perturbations
F60;Troubles spécifiques de la personnalité
F61;Troubles mixtes de la personnalité et autres troubles de la
F62;Modification durable de la personnalité non attribuable à une lésion
F63;Troubles des habitudes et des impulsions
F64;Troubles de l'identité sexuelle
F65;Troubles de la préférence sexuelle
F66;Problèmes psychologiques et comportementaux associés au
F68;Autres troubles de la personnalité et du comportement chez l'adulte
F69;Trouble de la personnalité et du comportement chez l'adulte, sans
F70;Retard mental léger
F71;Retard mental moyen
F72;Retard mental grave
F73;Retard mental profond
F78;Autres formes de retard mental
F79;Retard mental, sans précision
F80;Troubles spécifiques du développement de la parole et du langage
F81;Troubles spécifiques du développement des acquisitions scolaires
F82;Trouble spécifique du développement moteur
F83;Troubles spécifiques mixtes du développement
F84;Troubles envahissants du développement
F88;Autres troubles du développement psychologique
F89;Trouble du développement psychologique, sans précision
F90;Troubles hyperkinétiques
F91;Troubles des conduites
F92;Troubles mixtes des conduites et troubles émotionnels
F93;Troubles émotionnels apparaissant spécifiquement dans l'enfance
F94;Troubles du fonctionnement social apparaissant spécifiquement durant
F95;Tics
F98;Autres troubles du comportement et troubles émotionnels apparaissant
F99;Trouble mental, sans autre indication
G00;Méningite bactérienne, non classée ailleurs
G01;Méningite au cours d'affections bactériennes classées ailleurs
G02;Méningite au cours d'autres maladies infectieuses et parasitaires
G03;Méningite due à des causes autres et non précisées
G04;Encéphalite, myélite et encéphalomyélite
G05;Encéphalite, myélite et encéphalomyélite au cours d'affections
G06;Abcès et granulome intracrâniens et intrarachidiens
G07;Abcès et granulome intracrâniens et intrarachidiens au cours
G08;Phlébite et thrombophlébite intracrâniennes et intrarachidiennes
G09;Séquelles d'affections inflammatoires du système nerveux central
G10;Chorée de Huntington
G11;Ataxie héréditaire
G12;Amyotrophie spinale et syndromes apparentés
G13;Affections dégénératives systémiques affectant principalement le
G14;Syndrome postpoliomyélitique
G20;Maladie de Parkinson
G21;Syndrome parkinsonien secondaire
G22;Syndrome parkinsonien au cours de maladies classées ailleurs
G23;Autres maladies dégénératives des noyaux gris centraux
G24;Dystonie
G25;Autres syndromes extrapyramidaux et troubles de la motricité
G26;Syndromes extrapyramidaux et troubles de la motricité au cours
G30;Maladie d'Alzheimer
G31;Autres affections dégénératives du système nerveux, non classées
G32;Autres affections dégénératives du système nerveux au cours
G35;Sclérose en plaques
G36;Autres affections démyélinisantes aigües disséminées
G37;Autres affections démyélinisantes du système nerveux central
G40;Épilepsie
G41;État de mal épileptique
G43;Migraine
G44;Autres syndromes d'algies céphaliques
G45;Accidents ischémiques cérébraux transitoires et syndromes apparentés
G46;Syndromes vasculaires cérébraux au cours de maladies
G47;Troubles du sommeil
G50;Affections du nerf trijumeau
G51;Affections du nerf facial
G52;Affections des autres nerfs crâniens
G53;Affections des nerfs crâniens au cours de maladies classées ailleurs
G54;Affections des racines et des plexus nerveux
G55;Compression des racines et des plexus nerveux au cours de maladies
G56;Mononévrite du membre supérieur
G57;Mononévrite du membre inférieur
G58;Autres mononévrites
G59;Mononévrite au cours de maladies classées ailleurs
G60;Neuropathie héréditaire et idiopathique
G61;Polynévrites inflammatoires
G62;Autres polynévrites
G63;Polynévrite au cours de maladies classées ailleurs
G64;Autres affections du système nerveux périphérique
G70;Myasthénie et autres affections neuromusculaires
G71;Affections musculaires primitives
G72;Autres myopathies
G73;Affections musculaires et neuromusculaires au cours de maladies
G80;Paralysie cérébrale
G81;Hémiplégie
G82;Paraplégie et tétraplégie
G83;Autres syndromes paralytiques
G90;Affections du système nerveux autonome
G91;Hydrocéphalie
G92;Encéphalopathie toxique
G93;Autres affections du cerveau
G94;Autres affections du cerveau au cours de maladies classées ailleurs
G95;Autres affections de la moelle épinière
G96;Autres affections du système nerveux central
G97;Affections du système nerveux après un acte à visée diagnostique et
G98;Autres affections du système nerveux, non classées ailleurs
G99;Autres affections du système nerveux au cours de maladies classées
H00;Orgelet et chalazion
H01;Autres inflammations de la paupière
H02;Autres affections des paupières
H03;Affections de la paupière au cours de maladies classées ailleurs
H04;Affections de l'appareil lacrymal
H05;Affections de l'orbite
H06;Affections de l'appareil lacrymal et de l'orbite au cours de
H10;Conjonctivite
H11;Autres affections de la conjonctive
H13;Affections de la conjonctive au cours de maladies classées ailleurs
H15;Affections de la sclérotique
H16;Kératite
H17;Cicatrices et opacités cornéennes
H18;Autres affections de la cornée
H19;Affections de la sclérotique et de la cornée au cours de maladies
H20;Iridocyclite
H21;Autres affections de l'iris et du corps ciliaire
H22;Affections de l'iris et du corps ciliaire au cours de maladies
H25;Cataracte sénile
H26;Autres cataractes
H27;Autres affections du cristallin
H28;Cataracte et autres affections du cristallin au cours de maladies
H30;Choriorétinite
H31;Autres affections de la choroïde
H32;Affections choriorétiniennes au cours de maladies classées ailleurs
H33;Décollement et déchirure de la rétine
H34;Occlusions vasculaires rétiniennes
H35;Autres affections rétiniennes
H36;Affections rétiniennes au cours de maladies classées ailleurs
H40;Glaucome
H42;Glaucome au cours de maladies classées ailleurs
H43;Affections du corps vitré
H44;Affections du globe oculaire
H45;Affections du corps vitré et du globe oculaire au cours de maladies
H46;Névrite optique
H47;Autres affections du nerf [II] et des voies optiques
H48;Affections du nerf [II] et des voies optiques au cours de maladies
H49;Strabisme paralytique
H50;Autres strabismes
H51;Autres anomalies des mouvements binoculaires
H52;Vices de réfraction et troubles de l'accommodation
H53;Troubles de la vision
H54;Déficience visuelle incluant la cécité (binoculaire ou monoculaire)
H55;Nystagmus et autres anomalies des mouvements oculaires
H57;Autres affections de l'œil et de ses annexes
H58;Autres affections de l'œil et de ses annexes au cours de maladies
H59;Affections de l'œil et de ses annexes après un acte à visée
H60;Otite externe
H61;Autres affections de l'oreille externe
H62;Affections de l'oreille externe au cours de maladies classées
H65;Otite moyenne non suppurée
H66;Otite moyenne suppurée et sans précision
H67;Otite moyenne au cours de maladies classées ailleurs
H68;Salpingite et obstruction de la trompe d'Eustache
H69;Autres affections de la trompe d'Eustache
H70;Mastoïdite et affections apparentées
H71;Cholestéatome de l'oreille moyenne
H72;Perforation du tympan
H73;Autres affections du tympan
H74;Autres affections de l'oreille moyenne et de l'apophyse mastoïde
H75;Autres affections de l'oreille moyenne et de l'apophyse mastoïde au
H80;Otosclérose
H81;Atteintes des fonctions vestibulaires
H82;Syndromes vertigineux au cours de maladies classées ailleurs
H83;Autres maladies de l'oreille interne
H90;Surdité de transmission et neurosensorielle
H91;Autres pertes de l'audition
H92;Otalgie et écoulement par l'oreille
H93;Autres affections de l'oreille, non classées ailleurs
H94;Autres affections de l'oreille au cours de maladies classées
H95;Affections de l'oreille et de l'apophyse mastoïde après un acte à
I00;Rhumatisme articulaire aigu, sans mention d'atteinte cardiaque
I01;Rhumatisme articulaire aigu, avec atteinte cardiaque
I02;Chorée rhumatismale
I05;Maladies rhumatismales de la valvule mitrale
I06;Maladies rhumatismales de la valvule aortique
I07;Maladies rhumatismales de la valvule tricuspide
I08;Maladies de plusieurs valvules
I09;Autres cardiopathies rhumatismales
I10;Hypertension essentielle (primitive)
I11;Cardiopathie hypertensive
I12;Néphropathie hypertensive
I13;Cardionéphropathie hypertensive
I15;Hypertension secondaire
I20;Angine de poitrine
I21;Infarctus aigu du myocarde
I22;Infarctus du myocarde à répétition
I23;Certaines complications récentes d'un infarctus aigu du myocarde
I24;Autres cardiopathies ischémiques aigües
I25;Cardiopathie ischémique chronique
I26;Embolie pulmonaire
I27;Autres affections cardiopulmonaires
I28;Autres maladies des vaisseaux pulmonaires
I30;Péricardite aigüe
I31;Autres maladies du péricarde
I32;Péricardite au cours de maladies classées ailleurs
I33;Endocardite aigüe et subaigüe
I34;Atteintes non rhumatismales de la valvule mitrale
I35;Atteintes non rhumatismales de la valvule aortique
I36;Atteintes non rhumatismales de la valvule tricuspide
I37;Atteintes de la valvule pulmonaire
I38;Endocardite, valvule non précisée
I39;Endocardite et atteintes valvulaires cardiaques au cours de maladies
I40;Myocardite aigüe
I41;Myocardite au cours de maladies classées ailleurs
I42;Myocardiopathie
I43;Myocardiopathie au cours de maladies classées ailleurs
I44;Bloc de branche gauche et auriculoventriculaire
I45;Autres troubles de la conduction
I46;Arrêt cardiaque
I47;Tachycardie paroxystique
I48;Fibrillation et flutter auriculaires
I49;Autres arythmies cardiaques
I50;Insuffisance cardiaque
I51;Complications de cardiopathies et maladies cardiaques mal définies
I52;Autres cardiopathies au cours de maladies classées ailleurs
I60;Hémorragie sousarachnoïdienne
I61;Hémorragie intracérébrale
I62;Autres hémorragies intracrâniennes non traumatiques
I63;Infarctus cérébral
I64;Accident vasculaire cérébral, non précisé comme étant hémorragique
